player_id,mlb_team_need,org_depth,mlb_blockers,injury_opening,service_time_pressure,notes
mlb-top100-1,3,7,6,false,high,"Not currently found on the 40-man roster. MLB INF blockers: Andrew Vaughn, Brice Turang, Cooper Pratt, David Hamilton, Jake Bauers."
mlb-top100-2,5,7,6,true,high,"Not currently found on the 40-man roster. MLB INF blockers: Alika Williams, Jacob Wilson, Jeff McNeil, Joey Meneses, Max Muncy. At least one injured 40-man INF creates some churn risk."
mlb-top100-3,2,8,13,true,high,"Not currently found on the 40-man roster. MLB pitching depth includes Brandan Bidois, Braxton Ashcraft, Bubba Chandler, Carmen Mlodzinski, Dennis Santana. At least one injured 40-man pitcher creates some churn risk."
mlb-top100-4,3,7,6,false,high,"Not currently found on the 40-man roster. MLB INF blockers: Andrés Chaparro, CJ Abrams, Curtis Mead, Jorbit Vivas, Luis García Jr.."
mlb-top100-5,10,3,0,true,low,"On the 40-man roster. MLB INF blockers: Cole Young, Colt Emerson, J.P. Crawford, Josh Naylor, Weston Wilson. At least one injured 40-man INF creates some churn risk."
mlb-top100-6,2,8,13,true,high,"Not currently found on the 40-man roster. MLB pitching depth includes Alex Hoppe, Andrés Muñoz, Bryan Woo, Bryce Miller, Eduard Bazardo. At least one injured 40-man pitcher creates some churn risk."
mlb-top100-7,6,6,5,true,high,"Not currently found on the 40-man roster. MLB OF blockers: Ben Malgeri, James Outman, Kerry Carpenter, Matt Vierling, Riley Greene. At least one injured 40-man OF creates some churn risk."
mlb-top100-8,7,5,4,true,high,"Not currently found on the 40-man roster. MLB OF blockers: Alex Call, Andy Pages, Kyle Tucker, Ryan Ward. At least one injured 40-man OF creates some churn risk."
mlb-top100-9,5,7,6,true,high,"Not currently found on the 40-man roster. MLB INF blockers: Corey Seager, Ezequiel Duran, Jake Burger, Josh Jung, Justin Foscue. At least one injured 40-man INF creates some churn risk."
mlb-top100-10,6,6,5,true,high,"Not currently found on the 40-man roster. MLB INF blockers: Andruw Monasterio, Anthony Seigler, Caleb Durbin, Marcelo Mayer, Willson Contreras. At least one injured 40-man INF creates some churn risk."
mlb-top100-11,4,6,5,false,high,"Not currently found on the 40-man roster. MLB OF blockers: Austin Martin, Byron Buxton, Kyler Fedko, Ryan Kreidler, Trevor Larnach."
mlb-top100-12,2,8,13,true,high,"Not currently found on the 40-man roster. MLB pitching depth includes Anthony Bender, Cade Gibson, Calvin Faucher, Eury Pérez, John King. At least one injured 40-man pitcher creates some churn risk."
mlb-top100-13,7,5,4,true,high,"Not currently found on the 40-man roster. MLB INF blockers: Chase Meidroth, Colson Montgomery, Jacob Gonzalez, Miguel Vargas. At least one injured 40-man INF creates some churn risk."
mlb-top100-14,4,6,5,false,high,"Not currently found on the 40-man roster. MLB INF blockers: Alec Bohm, Bryce Harper, Bryson Stott, Edmundo Sosa, Trea Turner."
mlb-top100-15,4,6,5,false,high,"Not currently found on the 40-man roster. MLB INF blockers: Edouard Julien, Ezequiel Tovar, Kyle Karros, TJ Rumfield, Willi Castro."
mlb-top100-16,3,7,6,false,high,"Not currently found on the 40-man roster. MLB INF blockers: Andrew Vaughn, Brice Turang, Cooper Pratt, David Hamilton, Jake Bauers."
mlb-top100-17,7,5,4,true,high,"Not currently found on the 40-man roster. MLB OF blockers: Alex Call, Andy Pages, Kyle Tucker, Ryan Ward. At least one injured 40-man OF creates some churn risk."
mlb-top100-18,3,8,8,true,high,"Not currently found on the 40-man roster. MLB INF blockers: Amed Rosario, Anthony Volpe, Ben Rice, Jazz Chisholm Jr., José Caballero. At least one injured 40-man INF creates some churn risk."
mlb-top100-19,2,8,13,true,high,"Not currently found on the 40-man roster. MLB pitching depth includes Alex Hoppe, Andrés Muñoz, Bryan Woo, Bryce Miller, Eduard Bazardo. At least one injured 40-man pitcher creates some churn risk."
mlb-top100-20,2,8,13,true,high,"Not currently found on the 40-man roster. MLB pitching depth includes Andre Pallante, Dustin May, George Soriano, Gordon Graceffo, JoJo Romero. At least one injured 40-man pitcher creates some churn risk."
mlb-top100-21,10,3,0,true,low,"On the 40-man roster. MLB OF blockers: Braden Montgomery, Junior Perez, Luisangel Acuña, Sam Antonacci, Tristan Peters. At least one injured 40-man OF creates some churn risk."
